OrigDate,Price,Open,High,Low,Vol.,Change %,Date
44448,19.08,19.08,19.08,19.08,,0.31%,2021-09-09
44417,19.02,19.02,19.02,19.02,,0.09%,2021-08-09
44386,19,19,19,19,,0.00%,2021-07-09
44356,19,19,19,19,,0.08%,2021-06-09
44264,18.99,18.99,18.99,18.99,,2.05%,2021-03-09
44236,18.61,18.61,18.61,18.61,,-1.94%,2021-02-09
44205,18.97,18.97,18.97,18.97,,0.14%,2021-01-09
08/31/2021,18.95,18.95,18.95,18.95,,-0.24%,2021-08-31
08/27/2021,18.99,18.99,18.99,18.99,,-0.03%,2021-08-27
08/26/2021,19,19,19,19,,0.05%,2021-08-26
08/25/2021,18.99,18.99,18.99,18.99,,-0.06%,2021-08-25
08/24/2021,19,19,19,19,,0.06%,2021-08-24
08/23/2021,18.99,18.99,18.99,18.99,,-0.05%,2021-08-23
08/20/2021,19,19,19,19,,1.07%,2021-08-20
08/19/2021,18.8,18.8,18.8,18.8,,0.19%,2021-08-19
08/18/2021,18.76,18.76,18.76,18.76,,-1.12%,2021-08-18
08/17/2021,18.98,18.98,18.98,18.98,,-0.12%,2021-08-17
08/16/2021,19,19,19,19,,0.13%,2021-08-16
08/13/2021,18.98,18.98,18.98,18.98,,0.11%,2021-08-13
44538,18.96,18.96,18.96,18.96,,-0.09%,2021-12-08
44508,18.97,18.97,18.97,18.97,,-0.54%,2021-11-08
44477,19.08,19.08,19.08,19.08,,0.07%,2021-10-08
44447,19.06,19.06,19.06,19.06,,0.00%,2021-09-08
44355,19.07,19.07,19.07,19.07,,0.67%,2021-06-08
44324,18.94,18.94,18.94,18.94,,-0.09%,2021-05-08
44294,18.96,18.96,18.96,18.96,,-0.12%,2021-04-08
44263,18.98,18.98,18.98,18.98,,-0.19%,2021-03-08
44235,19.01,19.01,19.01,19.01,,-0.25%,2021-02-08
07/30/2021,19.06,19.06,19.06,19.06,,0.30%,2021-07-30
07/29/2021,19,19,19,19,,0.10%,2021-07-29
07/28/2021,18.98,18.98,18.98,18.98,,0.19%,2021-07-28
07/27/2021,18.95,18.95,18.95,18.95,,-0.97%,2021-07-27
07/26/2021,19.13,19.13,19.13,19.13,,0.97%,2021-07-26
07/19/2021,18.95,18.95,18.95,18.95,,-0.26%,2021-07-19
07/16/2021,19,19,19,19,,-0.20%,2021-07-16
07/14/2021,19.04,19.04,19.04,19.04,,0.00%,2021-07-14
07/13/2021,19.04,19.04,19.04,19.04,,0.19%,2021-07-13
44537,19,19,19,19,,0.16%,2021-12-07
44446,18.97,18.97,18.97,18.97,,0.71%,2021-09-07
44415,18.84,18.84,18.84,18.84,,-1.26%,2021-08-07
44384,19.08,19.08,19.08,19.08,,-0.95%,2021-07-07
44354,19.26,19.26,19.26,19.26,,1.76%,2021-06-07
44323,18.93,18.93,18.93,18.93,,-0.14%,2021-05-07
44234,18.95,18.95,18.95,18.95,,-0.26%,2021-02-07
44203,19,19,19,19,,-0.13%,2021-01-07
06/30/2021,19.03,19.03,19.03,19.03,,0.20%,2021-06-30
06/29/2021,18.99,18.99,18.99,18.99,,-0.10%,2021-06-29
06/28/2021,19.01,19.01,19.01,19.01,,-0.40%,2021-06-28
06/25/2021,19.08,19.08,19.08,19.08,,1.22%,2021-06-25
06/24/2021,18.85,18.85,18.85,18.85,,-0.99%,2021-06-24
06/23/2021,19.04,19.04,19.04,19.04,,-0.54%,2021-06-23
06/22/2021,19.15,19.15,19.15,19.15,,0.34%,2021-06-22
06/21/2021,19.08,19.08,19.08,19.08,,-1.07%,2021-06-21
06/18/2021,19.29,19.29,19.29,19.29,,0.78%,2021-06-18
06/17/2021,19.14,19.14,19.14,19.14,,0.00%,2021-06-17
06/16/2021,19.14,19.14,19.14,19.14,,0.33%,2021-06-16
06/15/2021,19.07,19.07,19.07,19.07,,0.12%,2021-06-15
06/14/2021,19.05,19.05,19.05,19.05,,-0.15%,2021-06-14
44506,19.08,19.08,19.08,19.08,,1.20%,2021-11-06
44475,18.86,18.86,18.86,18.86,,-1.06%,2021-10-06
44445,19.06,19.06,19.06,19.06,,0.38%,2021-09-06
44414,18.98,18.98,18.98,18.98,,-0.46%,2021-08-06
44383,19.07,19.07,19.07,19.07,,-0.56%,2021-07-06
44292,19.18,19.18,19.18,19.18,,0.94%,2021-04-06
44261,19,19,19,19,,-0.11%,2021-03-06
44233,19.02,19.02,19.02,19.02,,0.48%,2021-02-06
44202,18.93,18.93,18.93,18.93,,-0.75%,2021-01-06
05/31/2021,19.07,19.07,19.07,19.07,,0.56%,2021-05-31
05/28/2021,18.97,18.97,18.97,18.97,,1.09%,2021-05-28
05/27/2021,18.76,18.76,18.76,18.76,,0.07%,2021-05-27
05/26/2021,18.75,18.75,18.75,18.75,,-1.19%,2021-05-26
05/25/2021,18.97,18.97,18.97,18.97,,-0.34%,2021-05-25
05/24/2021,19.04,19.04,19.04,19.04,,0.15%,2021-05-24
05/21/2021,19.01,19.01,19.01,19.01,,0.25%,2021-05-21
05/20/2021,18.96,18.96,18.96,18.96,,0.61%,2021-05-20
05/18/2021,18.85,18.85,18.85,18.85,,0.26%,2021-05-18
05/17/2021,18.8,18.8,18.8,18.8,,4.63%,2021-05-17
44535,17.97,17.97,17.97,17.97,,-6.55%,2021-12-05
44505,19.23,19.23,19.23,19.23,,-0.21%,2021-11-05
44474,19.27,19.27,19.27,19.27,,0.09%,2021-10-05
44382,19.25,19.25,19.25,19.25,,0.09%,2021-07-05
44352,19.23,19.23,19.23,19.23,,0.00%,2021-06-05
44321,19.24,19.24,19.24,19.24,,-0.03%,2021-05-05
44291,19.24,19.24,19.24,19.24,,-0.05%,2021-04-05
44260,19.25,19.25,19.25,19.25,,-1.38%,2021-03-05
04/30/2021,19.52,19.52,19.52,19.52,,2.75%,2021-04-30
04/29/2021,19,19,19,19,,0.20%,2021-04-29
04/28/2021,18.96,18.96,18.96,18.96,,-0.34%,2021-04-28
04/27/2021,19.03,19.03,19.03,19.03,,0.14%,2021-04-27
04/26/2021,19,19,19,19,,-0.66%,2021-04-26
04/22/2021,19.13,19.13,19.13,19.13,,0.62%,2021-04-22
04/21/2021,19.01,19.01,19.01,19.01,,-0.15%,2021-04-21
04/20/2021,19.04,19.04,19.04,19.04,,-0.33%,2021-04-20
04/19/2021,19.1,19.1,19.1,19.1,,-1.20%,2021-04-19
04/16/2021,19.33,19.33,19.33,19.33,,2.82%,2021-04-16
04/15/2021,18.8,18.8,18.8,18.8,,-0.43%,2021-04-15
04/14/2021,18.88,18.88,18.88,18.88,,-0.32%,2021-04-14
04/13/2021,18.94,18.94,18.94,18.94,,-1.32%,2021-04-13
44534,19.2,19.2,19.2,19.2,,-1.15%,2021-12-04
44443,19.42,19.42,19.42,19.42,,0.04%,2021-09-04
44412,19.41,19.41,19.41,19.41,,0.77%,2021-08-04
44381,19.26,19.26,19.26,19.26,,0.82%,2021-07-04
44351,19.11,19.11,19.11,19.11,,1.16%,2021-06-04
44320,18.89,18.89,18.89,18.89,,0.91%,2021-05-04
44231,18.72,18.72,18.72,18.72,,0.71%,2021-02-04
44200,18.59,18.59,18.59,18.59,,-2.10%,2021-01-04
03/31/2021,18.98,18.98,18.98,18.98,,0.64%,2021-03-31
03/30/2021,18.86,18.86,18.86,18.86,,-0.93%,2021-03-30
03/29/2021,19.04,19.04,19.04,19.04,,-1.32%,2021-03-29
03/26/2021,19.29,19.29,19.29,19.29,,-0.32%,2021-03-26
03/25/2021,19.36,19.36,19.36,19.36,,0.95%,2021-03-25
03/24/2021,19.18,19.18,19.18,19.18,,0.14%,2021-03-24
03/23/2021,19.15,19.15,19.15,19.15,,1.18%,2021-03-23
03/22/2021,18.93,18.93,18.93,18.93,,0.55%,2021-03-22
03/19/2021,18.82,18.82,18.82,18.82,,10.55%,2021-03-19
03/18/2021,17.03,17.03,17.03,17.03,,2.12%,2021-03-18
03/17/2021,16.67,16.67,16.67,16.67,,-1.39%,2021-03-17
03/16/2021,16.91,16.91,16.91,16.91,,-0.86%,2021-03-16
03/15/2021,17.05,17.05,17.05,17.05,,-0.51%,2021-03-15
44533,17.14,17.14,17.14,17.14,,-0.17%,2021-12-03
44503,17.17,17.17,17.17,17.17,,-0.39%,2021-11-03
44472,17.24,17.24,17.24,17.24,,0.06%,2021-10-03
44442,17.23,17.23,17.23,17.23,,-1.19%,2021-09-03
44411,17.43,17.43,17.43,17.43,,0.15%,2021-08-03
44319,17.41,17.41,17.41,17.41,,1.52%,2021-05-03
44289,17.15,17.15,17.15,17.15,,0.80%,2021-04-03
44258,17.01,17.01,17.01,17.01,,-0.54%,2021-03-03
44230,17.1,17.1,17.1,17.1,,-0.97%,2021-02-03
44199,17.27,17.27,17.27,17.27,,1.00%,2021-01-03
02/26/2021,17.1,17.1,17.1,17.1,,-1.39%,2021-02-26
02/25/2021,17.34,17.34,17.34,17.34,,0.47%,2021-02-25
02/24/2021,17.26,17.26,17.26,17.26,,1.75%,2021-02-24
02/23/2021,16.96,16.96,16.96,16.96,,0.92%,2021-02-23
02/22/2021,16.81,16.81,16.81,16.81,,-0.84%,2021-02-22
02/19/2021,16.95,16.95,16.95,16.95,,2.36%,2021-02-19
02/18/2021,16.56,16.56,16.56,16.56,,-1.57%,2021-02-18
02/17/2021,16.82,16.82,16.82,16.82,,-1.41%,2021-02-17
02/16/2021,17.06,17.06,17.06,17.06,,0.79%,2021-02-16
02/15/2021,16.93,16.93,16.93,16.93,,-0.63%,2021-02-15
44532,17.04,17.04,17.04,17.04,,-0.43%,2021-12-02
44502,17.11,17.11,17.11,17.11,,0.65%,2021-11-02
44471,17,17,17,17,,0.19%,2021-10-02
44441,16.97,16.97,16.97,16.97,,-0.47%,2021-09-02
44410,17.05,17.05,17.05,17.05,,-0.65%,2021-08-02
44318,17.16,17.16,17.16,17.16,,-1.25%,2021-05-02
44288,17.38,17.38,17.38,17.38,,-0.06%,2021-04-02
44257,17.39,17.39,17.39,17.39,,-0.41%,2021-03-02
44229,17.46,17.46,17.46,17.46,,0.68%,2021-02-02
44198,17.34,17.34,17.34,17.34,,2.12%,2021-01-02
01/29/2021,16.98,16.98,16.98,16.98,,-0.06%,2021-01-29
01/28/2021,16.99,16.99,16.99,16.99,,0.39%,2021-01-28
01/27/2021,16.92,16.92,16.92,16.92,,-0.30%,2021-01-27
01/26/2021,16.98,16.98,16.98,16.98,,-1.26%,2021-01-26
01/25/2021,17.19,17.19,17.19,17.19,,-0.42%,2021-01-25
01/22/2021,17.27,17.27,17.27,17.27,,1.14%,2021-01-22
01/21/2021,17.07,17.07,17.07,17.07,,1.91%,2021-01-21
01/20/2021,16.75,16.75,16.75,16.75,,-0.29%,2021-01-20
01/19/2021,16.8,16.8,16.8,16.8,,0.41%,2021-01-19
01/18/2021,16.73,16.73,16.73,16.73,,0.07%,2021-01-18
01/15/2021,16.72,16.72,16.72,16.72,,-0.58%,2021-01-15
01/14/2021,16.82,16.82,16.82,16.82,,-0.71%,2021-01-14
01/13/2021,16.94,16.94,16.94,16.94,,-1.35%,2021-01-13
44531,17.17,17.17,17.17,17.17,,-0.08%,2021-12-01
44501,17.18,17.18,17.18,17.18,,-1.73%,2021-11-01
44409,17.48,17.48,17.48,17.48,,4.29%,2021-08-01
44378,16.76,16.76,16.76,16.76,,0.26%,2021-07-01
44348,16.72,16.72,16.72,16.72,,-0.40%,2021-06-01
44317,16.79,16.79,16.79,16.79,,-3.43%,2021-05-01
44287,17.38,17.38,17.38,17.38,,-3.24%,2021-04-01
