OrigDate,Price,Open,High,Low,Vol.,Change %,Date
44816,9.29,9.29,9.29,9.29,,5.78%,2022-09-12
44785,8.78,8.78,8.78,8.78,,-1.35%,2022-08-12
44754,8.9,8.9,8.9,8.9,,-8.22%,2022-07-12
44724,9.7,9.7,9.7,9.7,,0.54%,2022-06-12
44693,9.65,9.65,9.65,9.65,,-3.14%,2022-05-12
44604,9.96,9.96,9.96,9.96,,-0.43%,2022-02-12
44573,10.01,10.01,10.01,10.01,,-0.39%,2022-01-12
11/30/2022,10.04,10.04,10.04,10.04,,-0.11%,2022-11-30
11/29/2022,10.06,10.06,10.06,10.06,,-0.19%,2022-11-29
11/28/2022,10.07,10.07,10.07,10.07,,6.79%,2022-11-28
11/25/2022,9.43,9.43,9.43,9.43,,-19.20%,2022-11-25
11/24/2022,11.68,11.68,11.68,11.68,,4.19%,2022-11-24
11/23/2022,11.21,11.21,11.21,11.21,,0.33%,2022-11-23
11/22/2022,11.17,11.17,11.17,11.17,,-4.37%,2022-11-22
11/21/2022,11.68,11.68,11.68,11.68,,-0.37%,2022-11-21
11/18/2022,11.72,11.72,11.72,11.72,,2.13%,2022-11-18
11/17/2022,11.48,11.48,11.48,11.48,,1.75%,2022-11-17
11/16/2022,11.28,11.28,11.28,11.28,,2.90%,2022-11-16
11/15/2022,10.96,10.96,10.96,10.96,,1.91%,2022-11-15
11/14/2022,10.76,10.76,10.76,10.76,,2.08%,2022-11-14
44876,10.54,10.54,10.54,10.54,,4.91%,2022-11-11
44845,10.05,10.05,10.05,10.05,,-0.76%,2022-10-11
44815,10.12,10.12,10.12,10.12,,0.35%,2022-09-11
44784,10.09,10.09,10.09,10.09,,-0.38%,2022-08-11
44753,10.13,10.13,10.13,10.13,,-5.39%,2022-07-11
44662,10.7,10.7,10.7,10.7,,-3.17%,2022-04-11
44631,11.05,11.05,11.05,11.05,,1.27%,2022-03-11
44603,10.91,10.91,10.91,10.91,,0.24%,2022-02-11
44572,10.89,10.89,10.89,10.89,,-5.02%,2022-01-11
10/31/2022,11.46,11.46,11.46,11.46,,2.86%,2022-10-31
10/28/2022,11.15,11.15,11.15,11.15,,3.70%,2022-10-28
10/27/2022,10.75,10.75,10.75,10.75,,-1.30%,2022-10-27
10/26/2022,10.89,10.89,10.89,10.89,,0.00%,2022-10-26
10/25/2022,10.89,10.89,10.89,10.89,,-0.28%,2022-10-25
10/24/2022,10.92,10.92,10.92,10.92,,-4.96%,2022-10-24
10/21/2022,11.49,11.49,11.49,11.49,,-14.45%,2022-10-21
10/20/2022,13.43,13.43,13.43,13.43,,7.33%,2022-10-20
10/19/2022,12.51,12.51,12.51,12.51,,4.66%,2022-10-19
10/18/2022,11.96,11.96,11.96,11.96,,-2.51%,2022-10-18
10/17/2022,12.26,12.26,12.26,12.26,,4.47%,2022-10-17
10/14/2022,11.74,11.74,11.74,11.74,,-3.02%,2022-10-14
10/13/2022,12.1,12.1,12.1,12.1,,2.38%,2022-10-13
44905,11.82,11.82,11.82,11.82,,-1.40%,2022-12-10
44875,11.99,11.99,11.99,11.99,,-1.04%,2022-11-10
44844,12.12,12.12,12.12,12.12,,1.02%,2022-10-10
44752,11.99,11.99,11.99,11.99,,-2.58%,2022-07-10
44722,12.31,12.31,12.31,12.31,,2.19%,2022-06-10
44691,12.05,12.05,12.05,12.05,,-3.44%,2022-05-10
44661,12.48,12.48,12.48,12.48,,0.78%,2022-04-10
44630,12.38,12.38,12.38,12.38,,-3.99%,2022-03-10
09/30/2022,12.89,12.89,12.89,12.89,,13.30%,2022-09-30
09/29/2022,11.38,11.38,11.38,11.38,,-7.71%,2022-09-29
09/28/2022,12.33,12.33,12.33,12.33,,-1.53%,2022-09-28
09/27/2022,12.52,12.52,12.52,12.52,,-2.44%,2022-09-27
09/26/2022,12.84,12.84,12.84,12.84,,-4.07%,2022-09-26
09/23/2022,13.38,13.38,13.38,13.38,,-0.38%,2022-09-23
09/22/2022,13.43,13.43,13.43,13.43,,4.04%,2022-09-22
09/21/2022,12.91,12.91,12.91,12.91,,-0.84%,2022-09-21
09/20/2022,13.02,13.02,13.02,13.02,,1.83%,2022-09-20
09/19/2022,12.78,12.78,12.78,12.78,,1.36%,2022-09-19
09/16/2022,12.61,12.61,12.61,12.61,,6.90%,2022-09-16
09/15/2022,11.8,11.8,11.8,11.8,,-9.01%,2022-09-15
09/14/2022,12.97,12.97,12.97,12.97,,-0.51%,2022-09-14
09/13/2022,13.03,13.03,13.03,13.03,,1.55%,2022-09-13
44904,12.84,12.84,12.84,12.84,,-0.84%,2022-12-09
44813,12.94,12.94,12.94,12.94,,-0.15%,2022-09-09
44782,12.96,12.96,12.96,12.96,,-2.55%,2022-08-09
44751,13.3,13.3,13.3,13.3,,-0.78%,2022-07-09
44721,13.41,13.41,13.41,13.41,,0.83%,2022-06-09
44690,13.3,13.3,13.3,13.3,,1.68%,2022-05-09
44601,13.08,13.08,13.08,13.08,,-0.90%,2022-02-09
44570,13.19,13.19,13.19,13.19,,-1.04%,2022-01-09
08/31/2022,13.33,13.33,13.33,13.33,,11.58%,2022-08-31
08/29/2022,11.95,11.95,11.95,11.95,,-0.98%,2022-08-29
08/26/2022,12.07,12.07,12.07,12.07,,-2.79%,2022-08-26
08/25/2022,12.41,12.41,12.41,12.41,,-7.98%,2022-08-25
08/24/2022,13.49,13.49,13.49,13.49,,-0.07%,2022-08-24
08/23/2022,13.5,13.5,13.5,13.5,,-2.26%,2022-08-23
08/22/2022,13.81,13.81,13.81,13.81,,2.36%,2022-08-22
08/19/2022,13.49,13.49,13.49,13.49,,-9.85%,2022-08-19
08/18/2022,14.97,14.97,14.97,14.97,,5.37%,2022-08-18
08/17/2022,14.21,14.21,14.21,14.21,,0.26%,2022-08-17
08/16/2022,14.17,14.17,14.17,14.17,,0.33%,2022-08-16
08/15/2022,14.12,14.12,14.12,14.12,,1.24%,2022-08-15
44903,13.95,13.95,13.95,13.95,,0.91%,2022-12-08
44873,13.82,13.82,13.82,13.82,,-3.58%,2022-11-08
44842,14.34,14.34,14.34,14.34,,-0.51%,2022-10-08
44812,14.41,14.41,14.41,14.41,,-1.67%,2022-09-08
44781,14.66,14.66,14.66,14.66,,2.44%,2022-08-08
44689,14.31,14.31,14.31,14.31,,9.31%,2022-05-08
44659,13.09,13.09,13.09,13.09,,0.53%,2022-04-08
44628,13.02,13.02,13.02,13.02,,-4.34%,2022-03-08
44600,13.61,13.61,13.61,13.61,,-2.78%,2022-02-08
44569,14,14,14,14,,-0.33%,2022-01-08
07/29/2022,14.05,14.05,14.05,14.05,,-5.80%,2022-07-29
07/28/2022,14.91,14.91,14.91,14.91,,-0.29%,2022-07-28
07/27/2022,14.95,14.95,14.95,14.95,,5.63%,2022-07-27
07/26/2022,14.16,14.16,14.16,14.16,,-3.03%,2022-07-26
07/25/2022,14.6,14.6,14.6,14.6,,1.86%,2022-07-25
07/22/2022,14.33,14.33,14.33,14.33,,-4.61%,2022-07-22
07/21/2022,15.03,15.03,15.03,15.03,,5.98%,2022-07-21
07/20/2022,14.18,14.18,14.18,14.18,,0.37%,2022-07-20
07/19/2022,14.13,14.13,14.13,14.13,,0.23%,2022-07-19
07/18/2022,14.09,14.09,14.09,14.09,,-5.13%,2022-07-18
07/14/2022,14.86,14.86,14.86,14.86,,-0.35%,2022-07-14
